Title,Genre,Year,Rating,Director,Cast,Duration,Language,Country of Origin,Revenue,Budget
Attack on Titan,Action,2022,6.125,Noah Luke,"Paul Bianchi, Erin Coker, Jack Pearson, Anthony Jensen, Neli Sabour, Karan Sagoo, Natalie Storrs, Justin Tanks, Jenny Tran, Scott Williams",93,en,United States of America,N/A,N/A
The Exorcist,Horror,2022,6.462,Adrián García Bogliano,"María Evoli, Diana Bracho, Tina Romero, Norma Lazareno, Pilar Santacruz, Salvador Sánchez, Julio Bracho, Ramón Medína",101,es,Mexico,N/A,N/A
Gold Run,War,2022,6.556,Hallvard Bræin,"Jon Øigarden, Ida Elise Broch, Sven Nordin, Eivind Sander, Axel Bøyum, Morten Svartveit, Anatole Taubman, Thorbjørn Harr, Gard B. Eidsvold, Terje Strømdahl, Karin Klouman, Zeynep Husejin, Ava Vatne, Lars Berge, Anne Marie Ottersen, Arne Lindtner Næss, Geir Ivar Raknem, Porfirio Guiterrez, Øystein Janke Ellingsen, Nanna Lundevall, Pål Anders Nordvi, Bjørnar Bruun",117,no,Norway,N/A,N/A
Black Panther: Wakanda Forever,Action,2022,7.302,Ryan Coogler,"Letitia Wright, Lupita Nyong'o, Danai Gurira, Winston Duke, Dominique Thorne, Tenoch Huerta Mejía, Angela Bassett, Florence Kasumba, Michaela Coel, Mabel Cadena, Lake Bell, Alex Livinalli, Robert John Burke, Danny Sapani, Isaach De Bankolé, Connie Chiume, Martin Freeman, Julia Louis-Dreyfus, Richard Schiff, Michael B. Jordan, Dorothy Steel, Zainab Jah, Sope Aluko, Trevor Noah, Shawn Roberts, Zola Williams, Janeshia Adams-Ginyard, Jemini Powell, Marija Abney, Keisha Tucker, Ivy Haralson, Maya Macatumpag, Baaba Maal, Jabari Exum, Massamba Diop, Magatte Saw, Gerardo Aldana, Gigi Bermingham, Rudolph Massanga, Judd Wild, Amber Harrington, Michael Blake Kruse, Justin James Boykin, Anderson Cooper, Mackenro Alexander, Kamaru Usman, T. Love, Floyd Anthony Johns Jr., Jermaine Brantley, Granger Summerset II, Luke Lenza, Alan Wells, Bill Barrett, Lieiry J. Perez Escalera, Sevyn Hill, Gavin Macon, Skylar Ebron, Taylor Holmes, Angela Cipra, Faya Madrid, María Telón, María Mercedes Coroy, Josué Maychi, Sal Lopez, Irma Estella La Guerre, Manuel Chavez, Leonardo Castro, Juan Carlos Cantu, Shawntae Hughes, Corey Hibbert, Zaiden James, Aba Arthur, Délé Ogundiran, Kevin Changaris, Valerio Dorvillen, Don Castor, Jonathan González Collins, Divine Love Konadu-Sun, Chadwick Boseman",162,en,United States of America,858535561,250000000
Prizefighter: The Life of Jem Belcher,Drama,2022,6.165,Daniel Graham,"Matt Hookings, Ray Winstone, Jodhi May, Marton Csokas, Russell Crowe, Steven Berkoff, Julian Glover",107,en,United Kingdom,N/A,N/A
The Devil Conspiracy,Horror,2023,6.453,Nathan Frankowski,"Alice Orr-Ewing, Joe Doyle, Eveline Hall, Peter Mensah, Joe Anderson, Brian Caspe, Spencer Wilding, James Faulkner, Victoria Chilap, Wendy Rosas, Natalia Germani, Pavel Kříž, Jiří Valeš, Anushka Holding, Kevin Michael Clarke, Jim High, Andrea Scarduzio, Natassia Bustamante, Petr Vaněk, Ilaria Antonello, Matous Brichcin, Jan Arnošt, William Lizr",111,en,Czech Republic,N/A,N/A
The Hunteress,Thriller,2023,5.591,Martín Duplaquet,"Natalia Reddersen, Willy Semler, Alexandra Von Hummel, Felipe Valenzuela",72,es,N/A,N/A,N/A
Knock at the Cabin,Thriller,2023,6.436,M. Night Shyamalan,"Dave Bautista, Jonathan Groff, Ben Aldridge, Kristen Cui, Nikki Amuka-Bird, Rupert Grint, Abby Quinn, Clare Louise Frost, McKenna Kerrigan, Odera Adimorah, M. Night Shyamalan, Ian Merrill Peakes, Denise Nakano, Rose Luardo, Billy Vargus, Satomi Hofmann, Kelvin Leung, Lee Avant, Katy Murphy, Kittson O'Neill, Lya Yanne, Hanna Gaffney, Monica Fleurette, Saria Chen",100,en,China,52000000,20000000
The Forbidden Legend: Sex & Chopsticks 2,Comedy,2009,6.0,Chin Man-Kei,"Wai-Kin Lam, Serina Hayakawa, Kaera Uehara, Winnie Leung, Hikaru Wakana, Lee Kin-Yan, Tam Kon-Chung, Samuel Leung Cheuk-Moon, Frankie Ng",93,cn,Hong Kong,N/A,N/A
Shark Side of the Moon,Action,2022,5.338,Glenn Campbell,"Maxi Witrak, Ego Mikitas, Michael Marcel, Tania Fox, Konstantin Podprugin, Lindsey Marie Wilson, Lydia Hunter, Reginald Stalling III, Terrance Livingston Jr., Michael Deni, Tammy Klein, Mahpara Khan, Natasha Goubskaya, Yelena Savranskaya, Roman Chsherbakov",88,en,United States of America,N/A,10000
The Magician's Elephant,Animation,2023,7.325,Wendy Rogers,"Noah Jupe, Mandy Patinkin, Brian Tyree Henry, Natasia Demetriou, Sian Clifford, Benedict Wong, Miranda Richardson, Kirby Howell-Baptiste, Aasif Mandvi, Pixie Davies, Dawn French, Cherise Boothe, Katy Cavanagh, Stephen Kearin, Tom Kenny, Phil LaMarr, John DiMaggio",99,en,Australia,N/A,N/A
Sayen,Thriller,2023,6.213,Alexander Witt,"Rallén Montenegro, Arón Piper, Enrique Arce, Roberto García Ruiz, Loreto Aravena, Alejandro Trejo, Eduardo Paxeco, Camilo Arancibia, Teresa Ramos, Roberto Cayuqueo, Antonia Méndez, Ramón González, Claudio Troncoso, Álvaro Espinoza, Matteo Sepúlveda, Matias Paredes, Omar Rivera, Serge Santana, David Gaete, Gonzalo Ledezma, Matias Muñoz, Rodrigo Muñoz, Lucas Jofre, Gaspar Jofre",94,es,Chile,N/A,N/A
Money Shot: The Pornhub Story,Documentary,2023,5.8,Suzanne Hillinger,"Noelle Perdue, Mike Stabile, Siri, Wolf Hudson, Martin Patriquin, Bree Mills, Cherie DeVille, Asa Akira, Natassia Dreams, Gwen Adora, Dani Pinter, Nicholas Kristof, Whitney Burgoyne, Feras Antoon, David Tassillo, Corey Urman, Yiota Souras, Serena Fleites, Michael Bowe, Allie Eve Knox, Francisco Liz, Fabian Thylmann, Laila Mickelwait, Trevor Noah, Kumail Nanjiani, Conan O'Brien, Jimmy Kimmel, Stephen Colbert",95,en,United States of America,N/A,N/A
Batman: The Doom That Came to Gotham,Animation,2023,6.439,Sam Liu,"David Giuntoli, Patrick Fabian, John DiMaggio, Karan Brar, Navid Negahban, Darin De Paul, Emily O'Brien, Christopher Gorham, David Dastmalchian, Tim Russ, Matthew Waterson, Jeffrey Combs, William Salyers, Gideon Adlon, Tati Gabrielle, Jason Marsden, Brian George",86,en,United States of America,N/A,N/A
Consecration,Horror,2023,6.692,Christopher Smith,"Jena Malone, Danny Huston, Thoren Ferguson, Janet Suzman, Ian Pirie, Steffan Cennydd, Will Keen, Alexandra Lewis, Kit Rakusen, Eilidh Fisher, Jolade Obasola, Marilyn O'Brien, David Boyle, Angela White, Emma Hixson, Rachael Joanne Brown, Charlotte Palmer, Michael Brophy, Daisy Allen",90,en,United Kingdom,N/A,N/A
Plane,Action,2023,6.87,Jean-François Richet,"Gerard Butler, Mike Colter, Yoson An, Tony Goldwyn, Daniella Pineda, Paul Ben-Victor, Remi Adeleke, Joey Slotnick, Evan Dane Taylor, Claro de los Reyes, Kelly Gale, Haleigh Hekking, Lilly Krug, Oliver Trevena, Tara Westwood, Mark Labella, Quinn McPherson, Kate Rachesky, Amber Rivera, Otis Winston, Modesto Lacen, Jeff Francisco, Jeffrey Holsman, Ariel Felix, Rose Eshay, Jessica Nam, Thomas A. Curran, Ricky Robles Cruz, Matthew Valeña, Natalia Román García, Ángel Fabián Rivera, Heather Seiffert, Kate Bisset",107,en,United States of America,51000000,25000000
The Pope's Exorcist,Horror,2023,8.4,Julius Avery,"Russell Crowe, Daniel Zovatto, Alex Essoe, Franco Nero, Laurel Marsden, Cornell John, Ralph Ineson, River Hawkins, Pablo Raybould, Ryan O'Grady, Alessandro Gruttadauria, Bianca Bardoe, Paloma Bloyd, Carrie Munro, Marc Velasco, Tom Bonington, Derek Carroll, Victor Solé, Gennaro Diana",104,en,United States of America,N/A,N/A
John Wick: Chapter 2,Action,2017,7.306,Chad Stahelski,"Keanu Reeves, Common, Ian McShane, Laurence Fishburne, Riccardo Scamarcio, Ruby Rose, Lance Reddick, Peter Stormare, Bridget Moynahan, Franco Nero, John Leguizamo, Claudia Gerini, Wass Stevens, Peter Serafinowicz, Luca Mosca, Tobias Segal, Thomas Sadoski, Chukwudi Iwuji, Yama, Erik Frandsen, David Patrick Kelly, Perry Yung, Youma Diakite, Midori Nakamura, Mario Donatone, Giorgio Carminati, Elli, Thaddeus Daniels, Margaret Daly, Christine Hollingsworth, Ciscandra Nostalghia, Vadim Kroll, Simone Spinazzè, Chris LaPanta, Guyviaud Joseph, Diane Gooch, Alisa Ermolaev, Kelly Rae LeGault, Joan Smalls, Basil Iwanyk Sr., Airon Armstrong, Nico Toffoli, Aaron Cohen, Aly Mang, Nora Sommerkamp, Marmee Regine Cosico, Nancy Cejari, Kitty Crystal, Jennifer Dong, Sidney Beitz, Mark Vincent, Justin L. Wilson, Shade Rupe, Heidi Moneymaker, Angel Pai, Johnny Otto, Nobuya Shimamoto, Oleg Prudius, Alex Ziwak, Bruno Verdirosi, Ottaviano Dell'Acqua, Tim Connolly, Kenny Sheard, Stephen Dunlevy, Niko Nedyalkov, Bill Walters",122,en,United States of America,171539887,40000000
M3GAN,Science Fiction,2022,7.408,Gerard Johnstone,"Allison Williams, Violet McGraw, Jenna Davis, Amie Donald, Jen Van Epps, Brian Jordan Alvarez, Ronny Chieng, Stephane Garneau-Monten, Amy Usherwood, Michael Saccente, Arlo Green, Kira Josephson, Samson Chan-Boon, Jack Cassidy, Chelsie Preston Crayford, Lori Dungey, Millen Baird, Renee Lyons",102,en,United States of America,167643991,12000000
Shazam! Fury of the Gods,Action,2023,6.751,David F. Sandberg,"Zachary Levi, Asher Angel, Jack Dylan Grazer, Grace Caroline Currey, Helen Mirren, Lucy Liu, Rachel Zegler, Adam Brody, Meagan Good, Faithe Herman, Ross Butler, Ian Chen, D.J. Cotrona, Jovan Armand, Djimon Hounsou, Cooper Andrews, Marta Milans, Rizwan Manji, P.J. Byrne, Diedrich Bader, Patrick Reidy, Kelvin Hodge, Chloe Camp, Gal Gadot, Lotta Losten, David F. Sandberg, Michael Gray, Jennifer Holland, Steve Agee, Mark Strong, Wolf Blitzer, Taylor Cahill",130,en,United States of America,119593049,125000000
Ant-Man and the Wasp: Quantumania,Science Fiction,2023,6.326,Peyton Reed,"Paul Rudd, Evangeline Lilly, Jonathan Majors, Kathryn Newton, Michelle Pfeiffer, Michael Douglas, Corey Stoll, Bill Murray, William Jackson Harper, David Dastmalchian, Jamie Andrew Cutler, Katy O'Brian, Mark Weinman, Randall Park, Ross Mullan, Tom Clark, Leon Cooke, Nathan Blees, Durassie Kiangangu, Liran Nathan, Sam Symons, Grahame Fox, Nicola Peluso, Harrison Daniels, Brahmdeo Shannon Ramana, Russell Balogh, Leonardo Taiwo, Osian Roberts, Lucas Gerstel, Mia Gerstel, Tracy Jeffrey, Dinah Jeffrey, Judy Jeffrey, John Nayagam, Greta Nayagam, Cathy Chan, Adam Sai, Jamie Sai, Jakari Fraser, Patricia Belcher, Mark Oliver Everett, Ruben Rabasa, Melanie Garcia, Gregg Turkington, Sierra Katow, Ryan Bergara, Marielle Scott, Jake Millgard, Dey Young, Briza Covarrubias, Tess Aubert, David J. Castillo, Sir Cornwell, Alan Heitz, Esther McAuley, Aisling Maria Andreica, Milton Lopes, Roger Craig Smith, Matthew Wood, Loveday Smith, John Townsend, Tom Hiddleston, Owen Wilson, Abby Ryder Fortson",125,en,United States of America,462000000,200000000
John Wick: Chapter 5,Action,N/A,N/A,N/A,N/A,N/A,en,United States of America,N/A,N/A
Die Hart,Action,2023,6.149,Eric Appel,"Kevin Hart, John Travolta, Nathalie Emmanuel, Jean Reno, Josh Hartnett, Kenneth Trujillo, Joshua Lamboy, Brandon Quinn, Milana Vayntrub, Stephan Jones, Jason Jones, Eric Mainade, Brandon Quinn, Haley Dumas, Danielle Madison, Ronny Mathew, Gary Weeks, Rahiem Riley, Chloe Asbell, Shermonz Pounds, Nathan W. Collins, Ramses R. Rivas",85,en,United States of America,N/A,N/A
A Bronx Tale,Drama,1993,7.807,Robert De Niro,"Robert De Niro, Chazz Palminteri, Lillo Brancato, Francis Capra, Taral Hicks, Kathrine Narducci, Clem Caserta, Alfred Sauchelli Jr., Frank Pietrangolare, Joe Pesci, Robert D'Andrea, Eddie Montanaro, Fred Fischer, Dave Salerno, Joseph D'Onofrio, Luigi D'Angelo, Louis Vanaria, Dominick Rocchio, Patrick Borriello, Paul Perri, Mitch Kolpan, Phil Foglia, Max Genovino, Ralph Napolitano, Steve Kendall, A.J. Ekoku, Sobe Bailey, Domenick Lombardozzi, Gianna Ranaudo, Nicky Blair, Nina von Arx, Derrick Simmons, Richard DeDomenico",121,en,United States of America,17287898,10000000
Sick,Horror,2022,6.3,John Hyams,"Gideon Adlon, Bethlehem Million, Dylan Sprayberry, Marc Menchaca, Jane Adams, Joel Courtney, Chris Reid, Duane Stephens, Logan Murphy, Terry D. Gibson, Andrew Sikking, Kimberlee Kraczek",83,en,United States of America,N/A,N/A
Black Adam,Action,2022,7.1,Jaume Collet-Serra,"Dwayne Johnson, Aldis Hodge, Noah Centineo, Sarah Shahi, Quintessa Swindell, Marwan Kenzari, Mo Amer, Bodhi Sabongui, Pierce Brosnan, James Cusati-Moyer, Jalon Christian, Benjamin Patterson, Odelya Halevi, Uli Latukefu, Jennifer Holland, Henry Winkler, Chaim Jeraffi, Sharon Gee, Stephan Jones, A. Manuel Miranda, Djimon Hounsou, Raj Kala, E. Lloyd Napier, Kiara Rashawn, Onye Eme-Akwari, Sanna Erica, Vince Canlas, Tonea Stewart, Meghna Nagarajan, Patrick Sabongui, Alex Parkinson, Joseph Gatt, Kamen Casey, Dennis Dawson, Mike Senior, Jermaine Rivers, Regina Ting Chen, Sekou Laidlow, Cameron Moir, Donny Carrington, Boone Platt, Philip Fornah, Derek Russo, Angel Rosario Jr., Tang Nguyen, Christopher Matthew Cook, Natasha Ellie, Daniel Danca, Yssa Mei Panganiban, Ben Jenkin, Viola Davis, Henry Cavill, Natalie Burn, Maurice T. Johnson, Tre Ryan",125,en,United States of America,392952111,200000000
H.P. Lovecraft's Witch House,Horror,2022,6.0,Bobby Easley,"Portia Chellelynn, Julie Anne Prescott, Andrea Collins, Erin Trimble, Solon Tsangaras, John Johnson, Shonda Laverty, Bill Levin, Joe Padgett",82,en,United States of America,N/A,N/A
Murder Mystery 2,Comedy,2023,6.542,Jeremy Garelick,"Adam Sandler, Jennifer Aniston, Mark Strong, Mélanie Laurent, Jodie Turner-Smith, John Kani, Kuhoo Verma, Dany Boon, Adeel Akhtar, Enrique Arce, Zurin Villanueva, Jillian Bell, Tony Goldwyn, Annie Mumolo, Myo Leong, Carlos Ponce, Julien Briau, Matthew R. Anderson, Joe Ordaz, Ray Chase, Matthew Wolf",90,en,United States of America,N/A,N/A
John Wick: Chapter 3 - Parabellum,Action,2019,7.4,Chad Stahelski,"Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne, Mark Dacascos, Asia Kate Dillon, Lance Reddick, Anjelica Huston, Tobias Segal, Saïd Taghmaoui, Jerome Flynn, Randall Duk Kim, Margaret Daly, Robin Lord Taylor, Susan Blommaert, Jason Mantzoukas, Cecep Arif Rahman, Yayan Ruhian, Roger Yuan, Tiger Hu Chen, Boban Marjanović, Unity Phelan, Andrea Sooch, Sergio Delavicci, Tiler Peck, Baily Jones, India Bradley, Olivia MacKinnon, Sarah Villwock, Eliza Blutt, Harrison Coll, Maxim Beloserkovsky, Charles Askegard, Stefaniya Makarova, Jeff G. Waxman, Aïssam Bouali, Mustapha Adidou, Alexey Golousenko, Jon Valera, Hiroo Minami, Dana Schick, Shade Rupe",131,en,United States of America,326709727,55000000
Black Warrant,Action,2023,5.167,Tibor Takács,"Tom Berenger, Cam Gigandet, Jeff Fahey, Jonathan Avigdori, Sara Seyed, Rafael Cabrera, Rodrigo Abed, Tonantzin Esparza",94,en,United States of America,N/A,N/A
13 Exorcisms,Drama,2022,5.538,Jacobo Martínez,"María Romanillos, Ruth Díaz, Urko Olazábal, Pablo Revuelta, José Sacristán, Daniela Bini, Cristina Castaño, Silma López, Daniel Arias, Alicia Falcó, Uri Guitart",100,es,Spain,1891519,N/A
Dungeons & Dragons: Honor Among Thieves,Adventure,2023,7.533,John Francis Daley,"Chris Pine, Michelle Rodriguez, Regé-Jean Page, Justice Smith, Sophia Lillis, Hugh Grant, Jason Wong, Chloe Coleman, Daisy Head, Bradley Cooper, Hayley-Marie Axe, Ian Hanmore, Paul Bazely, Kenneth Collard, Richie Wilson, Philip Brodie, Michael Redmond, Daniel Campbell, Sharon Blynn, Jude Hill, Niamh McCormack, Anton Simpson-Tidy, Edd Osmond, Fionnlagh Allan, Jeanne Nicole Ní Áinle, Richard Croxford, Rylee Neilly-Large, Rylan Jackson, Richard Hall",134,en,Canada,70000000,151000000
Shotgun Wedding,Action,2022,6.3,Jason Moore,"Jennifer Lopez, Josh Duhamel, Jennifer Coolidge, Sônia Braga, Lenny Kravitz, D'Arcy Carden, Cheech Marin, Selena Tan, Desmin Borges, Pancho Cardena, Alex Mallari Jr., Callie Hernandez, Steve Coulter, Tharoth Sam, Worapojd Thautanon, Zachary Wood, Vladimir Acevedo, Powpong Kopholrat, Héctor Aníbal, Asia Munma, Ray Raymundo, Iana Ramirez, Sebastian Kahuna",101,en,United States of America,4495365,N/A
Little Dixie,Thriller,2023,6.038,John Swab,"Frank Grillo, Eric Dane, Annabeth Gish, Mercedes Mason, Peter Greene, Beau Knapp, Thomas Dekker, Maurice Compte, Sufe Bradshaw, Luis Da Silva Jr., Slaine, Sofia Bryant, Billy Blair, LaTeace Towns-Cuellar, Ben Hall, Dash Melrose, Danny Boy O'Connor, Mykle McCoslin, S. B. Weathersby, Mark Stephen Ward, Brett Swab, Alberto Zeni, Bruce Roach, Sierra Herd, Dan Matteucci, Nick W. Nicholson, Michael Sloan, Michael Wittig",105,en,United States of America,N/A,N/A
Lord of the Streets,Action,2022,5.156,Jared Cohn,"Treach, Quinton Jackson, Khalil Rountree Jr., Anderson Silva, Richard Grieco, A.J. McKee, Gigi Gustin, Meredith Thomas, Ashley Doris, Frankie Cullen, Rigan Machado, Michelle Ng, Sean Berube, Hana Giraldo, Jesse O'Neill, Derek Ocampo, Michael Gier, Jarrid Masse, Ted Sterner, Keith Sutliff, Edward Stasik, Niki J. Crawford, C.J. Gibson, Joseph W. Evans, Ryan Gangl, Charlit Dae, Ayhan Tongadur, Jubal Ace Kohn, Leigh Pollitt, Daniel L. Rivera, Dom Poniac, Angelo Baxter, Ty Lewis, Fatih Ugurlu, Chanda Am, Jacques Mordoki, Ed Nathan Mecate, Mike Joslin, Eric Shanker, Sonni Blak, Andres Castillo",85,en,United States of America,N/A,1000000
The Passion of the Christ,Drama,2004,7.432,Mel Gibson,"Jim Caviezel, Maia Morgenstern, Christo Jivkov, Francesco De Vito, Monica Bellucci, Mattia Sbragia, Toni Bertorelli, Luca Lionello, Hristo Shopov, Claudia Gerini, Fabio Sartor, Hierro jacinto, Giacinto Ferro, Aleksander Mincer, Sheila Mokhtari, Lucio Allocca, Paco Reconti, Adel Bakri, Luciano Dragone, Adel Ben Ayed, Franco Costanzo, Lino Salemme, Emanuele Gullotto, Francesco De Rosa, Maurizio Di Carmine, Francesco Gabriele, Angelo Di Loreta, Federico Pacifici, Roberto Santi, Giovanni Vettorazzo, Ted Rusoff, Tom Shaker, Andrea Coppola, Romuald Klos, Giuseppe Lo Console, Dario D'Ambrosi, Luciano Federico, Domenico Capalbo, Valerio Esposito, Antonello Iacovone, Nicola Tagarelli, Ivan Gaudiano, Chokri Ben Zagden, Roberto Bestazzoni, Luca De Dominicis, Pietro Sarubbi, Abel Jafri, Lello Giulivo, Emilio De Marchi, Roberto Visconti, Sergio Rubini, Francesco Cabras, Andrea Refuto, Giovanni Capalbo, Matt Patresi, Sabrina Impacciatore, Daniela Poti, Jarreth J. Merz, Noemi Marotta, Rossella Longo, Davide Marotta, Rosalinda Celentano, Danilo Di Ruzza, Vincenzo Monti, Danilo Maria Valli, Nuot Arquint, Abraam Fontana, Valerio Isidori, Paulo dos Santos, Arianna Vitolo, Gabriella Barbuti, Ornella Giusto, Michelle Bonev, Lucia Stara, Evelina Meghnagi, Francis Dokyi",127,en,United States of America,611899420,30000000
Bandit,Crime,2022,6.2,Allan Ungar,"Josh Duhamel, Elisha Cuthbert, Mel Gibson, Nestor Carbonell, Lorenzo Yearby, Swen Temmel, Keith Arthur Bolden, Dylan Flashner, Olivia d'Abo, Michael H. Cole, Claire Bronson, Jessica Luza, Rachael Markarian, Leander Suleiman, Chiara D'Ambrosio",126,en,Canada,N/A,N/A
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Animation,2020,8.25,Haruo Sotozaki,"Natsuki Hanae, Akari Kito, Hiro Shimono, Yoshitsugu Matsuoka, Satoshi Hino, Takahiro Sakurai, Katsuyuki Konishi, Saori Hayami, Kenichi Suzumura, Tomokazu Seki, Tomokazu Sugita, Toshiyuki Morikawa, Rina Sato, Shin-ichiro Miki, Houko Kuwashima, Kaede Hondo, You Taichi, Konomi Kohara, Aoi Koga, Rikiya Koyama, Megumi Toyoguchi, Junya Enoki, Mariya Ise, Daisuke Hirakawa, Akira Ishida, Jun Kasama, Sayaka Senbongi, Takuya Eguchi, Hibiku Yamamura, Yuya Hirose, Shinya Takahashi, Saeko Akiho, Shugo Nakamura, Mitsuki Nakae",117,ja,Japan,503063688,15800000
Perfect Addiction,Drama,2023,6.713,Castille Landon,"Kiana Madeira, Ross Butler, Matthew Noszka, Bree Winslow, Nicholas Duvernay, Manu Bennett, Ryan Bown, Poppy Gilbert, Cecilia Diesch",97,en,Germany,N/A,N/A
